kernel,use_n,use_xi,ml_disk,chi2_median,chi2_mean
accel,False,True,1.0,3.8717339519568763,4.529892447404423

name,N,chi2_reduced,v_obs_mean,resid_rms
NGC4389,6,20.59688466768954,73.10000000000001,62.15733953429708
UGC00128,22,16.557641915860597,118.42727272727274,60.58845760213529
NGC4217,19,16.038190466100716,168.6157894736842,71.5879603509264
NGC2903,34,11.187120533961542,182.7058823529412,64.98966029542206
UGC00634,4,11.059387811533014,95.7375,45.53697809573477
NGC2915,30,10.611813907704725,74.11666666666669,47.27416281625725
UGC02487,17,10.509398778472114,355.05882352941177,104.40129335723682
NGC1003,36,10.484792829231164,99.03055555555555,45.38790182021609
F571-8,13,10.22948308987989,94.16153846153846,47.96511845853897
UGC02455,8,10.224776962770449,37.375,37.41891373277044
NGC6674,15,9.447824051199568,249.93333333333334,72.84890911890788
NGC2841,50,9.37828723007902,301.42,83.57345321325646
NGC0891,18,8.607920013054853,219.44444444444446,71.51362084154874
F563-1,17,8.598923132036477,88.95294117647059,54.25860553386511
NGC4088,12,8.449115219859566,162.15833333333333,55.67226253534679
F568-1,12,8.447410775020272,100.88333333333333,55.17429049918058
NGC7331,36,8.02756776538164,241.86111111111111,73.19677226083131
UGC03580,47,7.990203112978959,91.70212765957447,41.6793291577769
UGC02259,8,7.91720812077914,79.8375,36.383760227682146
NGC5985,33,7.75433945673891,285.45454545454544,74.19671164961481
F568-V1,15,7.678243776667702,94.81333333333333,51.90208290530462
NGC5055,28,7.638201429871278,187.25,59.170860169846534
NGC6503,31,7.2847503314945525,114.29032258064517,39.47410400119205
NGC5033,22,7.158311381795728,211.54545454545453,61.21754521914925
F565-V2,7,6.797714528527389,60.47142857142857,35.23436703995248
NGC4085,7,6.709282337577315,108.58571428571429,38.61336876256586
UGC00731,12,6.553168033173521,61.783333333333324,33.60305541062262
IC4202,32,6.546437485229467,219.71875,38.43114775775677
UGC05721,23,6.439742239244057,70.33478260869565,35.31990935792129
NGC0289,28,6.3651696342762945,173.03571428571428,52.34499340544181
