kernel,use_n,use_xi,ml_disk,chi2_median,chi2_mean
accel,True,True,1.2,3.469352283184965,6.042648452732647

name,N,chi2_reduced,v_obs_mean,resid_rms
NGC5371,19,48.15674057321502,221.3684210526316,152.90536225587536
NGC4088,12,38.79768487422822,162.15833333333333,120.38994984716071
NGC6195,23,38.49701600688335,243.08695652173913,148.19083440673177
NGC7331,36,33.424451608709106,241.86111111111111,139.73917529304558
NGC0891,18,24.241107526730644,219.44444444444446,111.70740049685833
NGC3953,8,22.570408331152912,213.625,105.7162598094582
NGC2955,24,21.49412426125245,252.125,122.80410804668263
NGC4157,17,19.307105903329628,180.78823529411764,89.66307486755454
NGC0801,13,18.538966756191027,207.46153846153845,96.34476413647154
NGC5055,28,17.781239694592056,187.25,87.21967040546166
NGC4051,7,17.23688055571888,143.57142857142858,75.72854453216019
NGC3726,12,16.305336747825162,151.83333333333334,69.5409430302873
NGC3877,13,15.802908547121113,144.06923076923078,72.39379320119153
NGC4217,19,12.235594227417174,168.6157894736842,68.21999915031525
IC4202,32,11.924956444975727,219.71875,82.68653332463593
NGC5907,19,11.161895699282391,221.57894736842104,73.90049228980939
NGC6946,58,10.416352378276589,163.29310344827587,61.88218742320982
NGC4013,36,9.840982751891836,178.41666666666666,61.45298822126487
NGC4389,6,9.641844641764665,73.10000000000001,44.539086431017495
NGC2915,30,9.54151946323508,74.11666666666669,45.32546733638319
NGC3992,9,9.302947273982209,253.66666666666666,76.87845524024381
UGC05721,23,8.795122864103663,70.33478260869565,42.27954255565351
NGC2998,13,8.451055732419537,187.07692307692307,65.31929325560024
NGC1090,24,8.273060541187586,149.9958333333333,52.500541931235105
UGC04325,8,8.225696419406376,81.05,38.97064681134719
UGC02259,8,8.069528527928384,79.8375,36.74542829106639
UGC02885,19,7.8358599011298615,285.8421052631579,79.08907961020175
NGC1705,14,7.580783814768396,69.64999999999999,42.312249886976176
NGC5005,18,7.086631902388774,252.27777777777777,90.23123773785734
ESO444-G084,7,7.059060295992045,48.285714285714285,35.61423523517795
NGC2903,34,6.871946099875833,182.7058823529412,52.78652723170375
UGC05764,10,6.7316548531085685,45.769999999999996,32.21976506710799
NGC4214,14,6.689362929586699,75.22142857142856,38.54693580588961
UGC02916,43,6.566574562738949,208.72093023255815,59.09395727392607
ESO563-G021,30,6.531217437776273,263.31,74.45912033448963
F568-1,12,6.384142282428066,100.88333333333333,46.89619011882821
F568-V1,15,6.271325782632175,94.81333333333333,44.7960582767307
NGC0024,29,6.205667173395511,84.65862068965517,41.59561551311587
F563-1,17,5.979421326228043,88.95294117647059,44.495251595732476
F565-V2,7,5.880462177320254,60.47142857142857,32.87774946549413
UGC00731,12,5.787997361433707,61.783333333333324,31.012344762482474
NGC2683,11,5.769780455462577,177.63636363636363,50.53859351675344
UGC03205,48,5.727669571228795,215.125,55.704112452230774
UGC02953,115,5.48770826255291,273.8608695652174,72.72654204673918
NGC3109,25,5.4511198224458575,45.764,29.726029919700416
UGC03546,30,5.161188120164128,212.0,48.87634799669322
UGC00128,22,5.152240901121638,118.42727272727274,33.94100023496531
F563-V2,10,4.998995415514992,86.15,43.91961019429177
NGC3741,21,4.817199846702733,36.180952380952384,25.750726577243995
NGC4100,24,4.700040354583479,175.29166666666666,42.80690478328002
UGC05716,12,4.67482828213823,64.44166666666668,28.35515705629725
UGC00634,4,4.299213629780846,95.7375,28.179793411566084
F583-1,25,4.254120894205362,53.263999999999996,28.226536676728475
DDO154,12,4.230766572279976,38.18333333333333,23.767966075180865
NGC3893,10,3.673646069952339,178.6,40.03363460534016
UGC00191,9,3.6346035766975797,58.977777777777774,24.13900614117962
UGC04278,25,3.6121935453993204,56.8812,25.65273098811866
UGC05253,73,3.6030387599353433,241.78082191780823,53.65198865468204
D631-7,16,3.5456023086338604,43.038125,23.500569898789966
ESO116-G012,15,3.542694761978699,86.74666666666667,26.225386968787898
UGC02487,17,3.541734631259,355.05882352941177,63.700847095601155
NGC6789,4,3.5202342317162425,37.725,29.88890243658526
UGC00891,5,3.507831275951948,49.190000000000005,23.143830268741972
NGC5985,33,3.430873290417982,285.45454545454544,47.95297112922652
DDO168,10,3.4107996628812645,41.46,22.494187241733446
NGC6674,15,3.3545710711419514,249.93333333333334,46.89201899666449
NGC0300,25,3.2697556950603395,80.664,25.878214625228537
NGC3521,41,3.252251489878657,207.4390243902439,49.62554341761611
F579-V1,14,3.202313691664995,100.55714285714285,30.671329209165158
F574-1,14,3.1362476400589747,80.74285714285715,23.333405544723274
NGC1003,36,3.0331482013647904,99.03055555555555,24.616157731864707
NGC0289,28,2.966218821510819,173.03571428571428,38.33585603916433
NGC2841,50,2.922880812254709,301.42,50.02225056808736
NGC5033,22,2.9029790727698646,211.54545454545453,38.880382518274764
F571-8,13,2.8208167846775565,94.16153846153846,26.538676628973494
UGC01281,25,2.65275336822054,34.4312,21.062214438344828
UGC02455,8,2.6457353119129117,37.375,19.220090484100275
DDO064,14,2.418414577845833,32.535,19.99859410431228
F571-V1,7,2.32718612039104,69.74285714285715,21.26485656422268
UGC05829,11,2.3229556812725645,46.36363636363637,19.610752041367675
NGC2366,26,2.2053681794216233,40.492692307692316,18.09077467193356
UGC01230,11,2.105112078759829,91.88181818181819,24.77170875948864
NGC4085,7,2.0363245233700695,108.58571428571429,23.023389252280293
NGC4559,32,2.028698473999639,110.490625,21.564045899466056
DDO170,8,1.978161216115331,52.25,17.021158317506245
F568-3,18,1.9034688186437398,74.81666666666666,20.405296791662618
NGC6015,44,1.891035429632703,143.21818181818182,23.203437657078172
NGC2403,73,1.877085122694853,107.99726027397259,21.319745955085214
NGC3949,7,1.8676657649402488,153.14285714285714,28.40476674503226
UGC04499,9,1.814695481810996,60.888888888888886,17.859349256565896
UGC05414,6,1.8121200598042169,45.18333333333333,16.652475772326994
D512-2,4,1.8011732882798794,32.375,15.797028968958408
F574-2,5,1.7910045821050051,28.32,18.187548484982322
NGC0100,21,1.7752547669125764,67.34333333333333,18.46009170464205
F561-1,6,1.763287030477116,43.25,16.89058727651902
NGC0247,26,1.6171267325063137,85.17307692307692,15.664828512771404
NGC2976,27,1.5342232768594841,51.159259259259265,17.062845773358486
NGC5585,24,1.4743589471645624,62.1875,15.547979894787515
NGC3198,43,1.4505283510523972,125.67209302325581,19.82410949454486
NGC4138,7,1.4193923405621771,165.57142857142858,26.203561494616146
F583-4,12,1.3629772992246683,51.23333333333334,15.46367265334096
D564-8,6,1.2885683377824788,19.05666666666667,12.098733500712497
NGC3917,17,1.2493222834689317,114.8529411764706,16.75742805346625
ESO079-G014,15,1.2344308573838485,119.38666666666667,19.545101154416987
NGC3769,12,1.2182757754918558,115.875,18.095285652133953
UGC04483,8,1.1630590414471507,18.27625,11.792938238453537
KK98-251,15,1.1108316843518378,21.583333333333332,11.588059165088442
NGC3972,10,1.1051712522044266,105.1,15.237046234986844
NGC7793,46,1.0333776127522791,74.45652173913044,15.896878505832964
DDO161,31,1.0143448628364438,49.25483870967741,12.68945451738316
NGC4183,23,0.9458326985329731,101.89999999999999,13.967045142413665
IC2574,34,0.8944501640902913,43.47647058823529,11.900119444901147
NGC4068,6,0.8873362568980898,24.763333333333335,11.135106869457601
NGC6503,31,0.8286164442568286,114.29032258064517,13.971530172680442
UGC05005,11,0.7900283015909365,69.67272727272729,14.853965428869657
UGC03580,47,0.59325362816586,91.70212765957447,12.554710258340318
NGC7814,18,0.5724498806360737,224.61111111111111,23.244241858802262
UGC02023,5,0.57164043561,37.48,11.278585494251125
NGC4010,12,0.5653017124004635,98.8,11.010028331803236
UGC05750,11,0.5188543143950013,48.7,9.918590700089572
UGC04305,22,0.3961158306621224,30.085,7.337965178347347
F567-2,5,0.3894828316905935,44.31999999999999,8.085680784992102
F563-V1,6,0.37073553747839477,24.61666666666667,7.107561995043657
NGC0055,21,0.30073110696918437,72.25238095238095,6.565970935141203
PGC51017,6,0.24821543679492997,19.166666666666668,5.791739533391313
CamB,9,0.10122815543050095,10.876666666666665,3.3348715821028616
