tag,kernel,ml_disk,N_gal,chi2_median,chi2_mean
"time: with n(r), no xi",time,1.0,125,3.3500635618003467,4.970786339046097
"time: with n(r), xi",time,1.0,125,3.220639696613191,4.997854651037885
"time: n(r)=1, no xi",time,1.0,125,4.223098511340326,4.888762561858834
"time: n(r)=1, xi",time,1.0,125,4.192849735472136,4.77956294970567
"accel(gext=0.0): with n(r), no xi",accel,1.0,125,3.254103503387444,4.877609672594709
"accel(gext=0.0): with n(r), xi",accel,1.0,125,3.1418940443576817,4.910589628438812
"accel(gext=0.0): n(r)=1, no xi",accel,1.0,125,4.15097559597833,4.754694530854796
"accel(gext=0.0): n(r)=1, xi",accel,1.0,125,4.032234049745824,4.649558145673399
"accel(gext=0.03): with n(r), no xi",accel,1.0,125,3.255250328778562,4.904652061660623
"accel(gext=0.03): with n(r), xi",accel,1.0,125,3.1536671652342956,4.936673065687527
"accel(gext=0.03): n(r)=1, no xi",accel,1.0,125,4.166244242950858,4.792217904308688
"accel(gext=0.03): n(r)=1, xi",accel,1.0,125,4.0407017911247936,4.68678372602
"accel(gext=0.05): with n(r), no xi",accel,1.0,125,3.2556604750763616,4.915940889077742
"accel(gext=0.05): with n(r), xi",accel,1.0,125,3.16023791163289,4.947499448427312
"accel(gext=0.05): n(r)=1, no xi",accel,1.0,125,4.1741416643668385,4.809048556081815
"accel(gext=0.05): n(r)=1, xi",accel,1.0,125,4.04615088645759,4.703459770521173
"time: with n(r), no xi",time,1.2,125,3.741640042542956,6.156142097079362
"time: with n(r), xi",time,1.2,125,3.604571529384538,6.28898573507308
"time: n(r)=1, no xi",time,1.2,125,4.57662621805571,5.0082326616305
"time: n(r)=1, xi",time,1.2,125,4.520908436645031,4.970201586941218
"accel(gext=0.0): with n(r), no xi",accel,1.2,125,3.485690569978185,6.0732816082975996
"accel(gext=0.0): with n(r), xi",accel,1.2,125,3.507831275951948,6.211529529901225
"accel(gext=0.0): n(r)=1, no xi",accel,1.2,125,4.441185961144436,4.8990232298313146
"accel(gext=0.0): n(r)=1, xi",accel,1.2,125,4.310389003937652,4.865065546414559
"accel(gext=0.03): with n(r), no xi",accel,1.2,125,3.542759997551468,6.095291040561988
"accel(gext=0.03): with n(r), xi",accel,1.2,125,3.55772846130717,6.232524838511099
"accel(gext=0.03): n(r)=1, no xi",accel,1.2,125,4.467451392529895,4.9318822122049175
"accel(gext=0.03): n(r)=1, xi",accel,1.2,125,4.364155576075632,4.897567925437706
"accel(gext=0.05): with n(r), no xi",accel,1.2,125,3.5970253403174204,6.104524828585522
"accel(gext=0.05): with n(r), xi",accel,1.2,125,3.56679343054877,6.2412681094726254
"accel(gext=0.05): n(r)=1, no xi",accel,1.2,125,4.481910902662234,4.9468733462699825
"accel(gext=0.05): n(r)=1, xi",accel,1.2,125,4.378213452256563,4.912378501214461
